what,kind,bundleId,bundleVersion,description,time
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160062
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160066
error,log,,,"SOPC design not set.",1522382160070
error,log,,,"CPU module not set.",1522382160074
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522382160078
error,log,,,"CPU architecture type not set. ",1522382160082
error,log,,,"CPU master group not set.",1522382160085
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160088
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160091
error,log,,,"SOPC design not set.",1522382160095
error,log,,,"CPU module not set.",1522382160098
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522382160102
error,log,,,"CPU architecture type not set. ",1522382160105
error,log,,,"CPU master group not set.",1522382160108
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160112
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160115
error,log,,,"SOPC design not set.",1522382160119
error,log,,,"CPU module not set.",1522382160122
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522382160126
error,log,,,"CPU architecture type not set. ",1522382160129
error,log,,,"CPU master group not set.",1522382160132
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160136
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160139
error,log,,,"SOPC design not set.",1522382160142
error,log,,,"CPU module not set.",1522382160146
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522382160150
error,log,,,"CPU architecture type not set. ",1522382160154
error,log,,,"CPU master group not set.",1522382160157
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160161
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160165
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160210
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160214
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160238
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160242
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160533
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160536
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160555
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160558
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160563
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160566
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160584
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160588
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160593
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160596
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160612
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160616
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160621
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160625
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160642
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160645
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160653
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160657
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160675
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382160678
error,log,,,"SOPC design not set.",1522382179326
error,log,,,"CPU module not set.",1522382179330
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522382179333
error,log,,,"CPU architecture type not set. ",1522382179336
error,log,,,"CPU master group not set.",1522382179340
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382179343
error,log,,,"No Nios II byte stream devices connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382179346
error,log,,,"SOPC design not set.",1522382179350
error,log,,,"CPU module not set.",1522382179353
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522382179356
error,log,,,"CPU architecture type not set. ",1522382179360
error,log,,,"CPU master group not set.",1522382179363
error,log,,,"Expected base address of system ID component is undefined.",1522382179366
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1522382179370
